line,train_num,delay,trainowner
Hibiya,B2301T,300,Tobu
Yurakucho,B2393S,0,TokyoMetro
Tozai,A2499S,0,TokyoMetro
Tozai,A2375S,0,TokyoMetro
Tozai,A2341S,0,TokyoMetro
Tozai,B2331S,0,TokyoMetro
Chiyoda,A2315S,0,TokyoMetro
Chiyoda,B2505K,0,JR-East
Hanzomon,B2430K,0,Tokyu
Fukutoshin,A2405K,0,Tokyu
Namboku,A0536S,0,TokyoMetro
Namboku,A0532S,0,TokyoMetro
Namboku,A0538S,0,TokyoMetro
Namboku,B0580M,0,SaitamaRailway
Namboku,B0542S,0,TokyoMetro
Namboku,B0540S,0,TokyoMetro
Namboku,B0537T,0,Toei
Hibiya,A0501T,0,Tobu
Hibiya,A0508S,0,TokyoMetro
Hibiya,A0518S,0,TokyoMetro
Hibiya,A0522S,0,TokyoMetro
Hibiya,B0530S,0,TokyoMetro
Hibiya,B0528S,0,TokyoMetro
Hibiya,B0526S,0,TokyoMetro
Hibiya,B0524S,0,TokyoMetro
Marunouchi,A0503,0,TokyoMetro
Marunouchi,A0505,0,TokyoMetro
Marunouchi,A0507,0,TokyoMetro
Marunouchi,A0501,0,TokyoMetro
Marunouchi,A0537,0,TokyoMetro
Marunouchi,B05341,0,TokyoMetro
Marunouchi,B05322,0,TokyoMetro
Marunouchi,B0533,0,TokyoMetro
Marunouchi,B0529,0,TokyoMetro
Marunouchi,B0539,0,TokyoMetro
Marunouchi,B0531,0,TokyoMetro
Marunouchi,B0527,0,TokyoMetro
Marunouchi,B0509,0,TokyoMetro
Yurakucho,A0525S,0,TokyoMetro
Yurakucho,A0523S,0,TokyoMetro
Yurakucho,A0521S,0,TokyoMetro
Yurakucho,A0539S,0,TokyoMetro
Yurakucho,A0543S,0,TokyoMetro
Yurakucho,B0547S,0,TokyoMetro
Yurakucho,B0555S,0,TokyoMetro
Yurakucho,B0553S,0,TokyoMetro
Yurakucho,B0545S,0,TokyoMetro
Tozai,A0517S,0,TokyoMetro
Tozai,A0515S,0,TokyoMetro
Tozai,A0513S,0,TokyoMetro
Tozai,A0551S,0,TokyoMetro
Tozai,B0519S,0,TokyoMetro
Tozai,B0439S,0,TokyoMetro
Tozai,B0521S,0,TokyoMetro
Tozai,B0525S,0,TokyoMetro
Tozai,B0523S,0,TokyoMetro
Ginza,A0511,0,TokyoMetro
Ginza,A0501,0,TokyoMetro
Ginza,B0545,0,TokyoMetro
Ginza,B0543,0,TokyoMetro
Ginza,B0541,0,TokyoMetro
Chiyoda,A0596S2,0,TokyoMetro
Chiyoda,A0401K,0,JR-East
Chiyoda,A0501S,0,TokyoMetro
Chiyoda,A0413K,0,JR-East
Chiyoda,B0529S,0,TokyoMetro
Chiyoda,B0527S,0,TokyoMetro
Hanzomon,A0502K,0,Tokyu
Hanzomon,A0563S,0,TokyoMetro
Hanzomon,B0575S,0,TokyoMetro
Hanzomon,B0573S,0,TokyoMetro
Hanzomon,B0565S,0,TokyoMetro
Fukutoshin,A0525K,0,Tokyu
Fukutoshin,A0505S,0,TokyoMetro
Fukutoshin,A0504S,0,TokyoMetro
Fukutoshin,B0517K,0,Tokyu
Fukutoshin,B0501S,0,TokyoMetro
Namboku,A0501K,0,Tokyu
Namboku,A0646S,0,TokyoMetro
Namboku,A0506K,0,Tokyu
Namboku,A0504K,0,Tokyu
Namboku,A0540S,0,TokyoMetro
Namboku,B0544S,0,TokyoMetro
Namboku,B0586M,0,SaitamaRailway
Namboku,B0584M,0,SaitamaRailway
Namboku,B0582M,0,SaitamaRailway
Hibiya,A0505T,0,Tobu
Hibiya,A0503T,0,Tobu
Hibiya,A0524S,0,TokyoMetro
Hibiya,A0502S,0,TokyoMetro
Hibiya,A0501T,0,Tobu
Hibiya,B0634S,0,TokyoMetro
Hibiya,B0518S,0,TokyoMetro
Hibiya,B0532S,0,TokyoMetro
Hibiya,B0522S,0,TokyoMetro
