line,train_num,delay,trainowner
Chiyoda,B2505K,300,JR-East
Hanzomon,A0507K,0,Tokyu
Hanzomon,A0504K,0,Tokyu
Hanzomon,B0552T,0,Tobu
Hanzomon,B0550T,0,Tobu
Chiyoda,A0696S1,0,TokyoMetro
Chiyoda,A0503K,0,JR-East
Chiyoda,A0531S,0,TokyoMetro
Chiyoda,A0505K,0,JR-East
Chiyoda,A0509K,0,JR-East
Chiyoda,B0621S,0,TokyoMetro
Chiyoda,B0501S,0,TokyoMetro
Chiyoda,B0513K,0,JR-East
Chiyoda,B0519S,0,TokyoMetro
Marunouchi,A0629,0,TokyoMetro
Marunouchi,A0623,0,TokyoMetro
Marunouchi,A0531,0,TokyoMetro
Marunouchi,A0527,0,TokyoMetro
Marunouchi,A0509,0,TokyoMetro
Marunouchi,A06341,0,TokyoMetro
Marunouchi,A0503,0,TokyoMetro
Marunouchi,B06361,0,TokyoMetro
Marunouchi,B06321,0,TokyoMetro
Marunouchi,B0605,0,TokyoMetro
Marunouchi,B0607,0,TokyoMetro
Marunouchi,B0501,0,TokyoMetro
Marunouchi,B0541,0,TokyoMetro
Marunouchi,B05392,0,TokyoMetro
Marunouchi,B05372,0,TokyoMetro
Marunouchi,B0533,0,TokyoMetro
Marunouchi,B0611,0,TokyoMetro
Fukutoshin,A0617K,0,Tokyu
Fukutoshin,A0501S,0,TokyoMetro
Fukutoshin,A0506M,0,Seibu
Fukutoshin,A0526K,0,Tokyu
Fukutoshin,A0507S,0,TokyoMetro
Fukutoshin,A0541S,0,TokyoMetro
Fukutoshin,B0520K,0,Tokyu
Fukutoshin,B0524K,0,Tokyu
Fukutoshin,B0423K,0,Tokyu
Fukutoshin,B0519K,0,Tokyu
Namboku,A0646S,0,TokyoMetro
Namboku,A0506K,0,Tokyu
Namboku,A0504K,0,Tokyu
Namboku,A0540S,0,TokyoMetro
Namboku,B0544S,0,TokyoMetro
Namboku,B0586M,0,SaitamaRailway
Namboku,B0584M,0,SaitamaRailway
Namboku,B0582M,0,SaitamaRailway
Tozai,A0639S,0,TokyoMetro
Tozai,A0527S,0,TokyoMetro
Tozai,A0521S,0,TokyoMetro
Tozai,A0525S,0,TokyoMetro
Tozai,A0523S,0,TokyoMetro
Tozai,A0517S,0,TokyoMetro
Tozai,B0564T,0,ToyoRapidRailway
Tozai,B0543S,0,TokyoMetro
Tozai,B0553S,0,TokyoMetro
Tozai,B0537S,0,TokyoMetro
Tozai,B0531S,0,TokyoMetro
Tozai,B0519S,0,TokyoMetro
Tozai,B0529S,0,TokyoMetro
Yurakucho,A0501T,0,Tobu
Yurakucho,A0529S,0,TokyoMetro
Yurakucho,A0518M,0,Seibu
Yurakucho,A0545S,0,TokyoMetro
Yurakucho,A0527S,0,TokyoMetro
Yurakucho,A0525S,0,TokyoMetro
Yurakucho,B0657S,0,TokyoMetro
Yurakucho,B0621S,0,TokyoMetro
Yurakucho,B0539S,0,TokyoMetro
Yurakucho,B0543S,0,TokyoMetro
Yurakucho,B0504M,0,Seibu
Yurakucho,B0547S,0,TokyoMetro
Yurakucho,B0555S,0,TokyoMetro
Ginza,A0647,0,TokyoMetro
Ginza,A0645,0,TokyoMetro
Ginza,A0503,0,TokyoMetro
Ginza,A0543,0,TokyoMetro
Ginza,A0541,0,TokyoMetro
Ginza,B0633,0,TokyoMetro
Ginza,B0549,0,TokyoMetro
Ginza,B0501,0,TokyoMetro
Hibiya,A0507T,0,Tobu
Hibiya,A0505T,0,Tobu
Hibiya,A0503T,0,Tobu
Hibiya,A0524S,0,TokyoMetro
Hibiya,A0502S,0,TokyoMetro
Hibiya,B0634S,0,TokyoMetro
Hibiya,B0518S,0,TokyoMetro
Hibiya,B0532S,0,TokyoMetro
Hibiya,B0522S,0,TokyoMetro
Hibiya,B0530S,0,TokyoMetro
Hanzomon,A0616K,0,Tokyu
Hanzomon,A0612K,0,Tokyu
Hanzomon,A0580T,0,Tobu
Hanzomon,A0661S,0,TokyoMetro
Hanzomon,A0508K,0,Tokyu
Hanzomon,A0501K,0,Tokyu
Hanzomon,B0560T,0,Tobu
Hanzomon,B0633K,0,Tokyu
Hanzomon,B0558T,0,Tobu
Hanzomon,B0671S,0,TokyoMetro
Hanzomon,B0556T,0,Tobu
Chiyoda,A0796S1,0,TokyoMetro
Chiyoda,A0621K,0,JR-East
Chiyoda,A0627S,0,TokyoMetro
Chiyoda,A0613S,0,TokyoMetro
Chiyoda,A0619K,0,JR-East
Chiyoda,A0517K,0,JR-East
Chiyoda,B0725S,0,TokyoMetro
Chiyoda,B0603K,0,JR-East
Chiyoda,B0605K,0,JR-East
Chiyoda,B0631S,0,TokyoMetro
Chiyoda,B0623S,0,TokyoMetro
Chiyoda,B0609K,0,JR-East
Marunouchi,A0607,0,TokyoMetro
Marunouchi,A0743,0,TokyoMetro
Marunouchi,A0601,0,TokyoMetro
Marunouchi,A0641,0,TokyoMetro
Marunouchi,A0639,0,TokyoMetro
Marunouchi,A0637,0,TokyoMetro
Marunouchi,A0625,0,TokyoMetro
Marunouchi,A0633,0,TokyoMetro
Marunouchi,A0611,0,TokyoMetro
Marunouchi,A0629,0,TokyoMetro
Marunouchi,A06343,0,TokyoMetro
Marunouchi,B06363,0,TokyoMetro
Marunouchi,B06323,0,TokyoMetro
Marunouchi,B0623,0,TokyoMetro
Marunouchi,B0631,0,TokyoMetro
Marunouchi,B0647,0,TokyoMetro
Marunouchi,B0627,0,TokyoMetro
Marunouchi,B0609,0,TokyoMetro
Marunouchi,B0645,0,TokyoMetro
Marunouchi,B0603,0,TokyoMetro
Marunouchi,B0605,0,TokyoMetro
Fukutoshin,A0624K,0,Tokyu
Fukutoshin,A0609T,0,Tobu
Fukutoshin,A0626M,0,Seibu
Fukutoshin,A0623K,0,Tokyu
Fukutoshin,A0608S,0,TokyoMetro
Fukutoshin,A0619K,0,Tokyu
Fukutoshin,B0653K,0,Tokyu
Fukutoshin,B0613K,0,Tokyu
Fukutoshin,B0614K,0,Tokyu
Fukutoshin,B0501K2,0,Tokyu
Fukutoshin,B0651K,0,Tokyu
Fukutoshin,B0521K,0,Tokyu
Namboku,A0680M,0,SaitamaRailway
Namboku,A0631T,0,Toei
Namboku,A0642S,0,TokyoMetro
Namboku,A0648S,0,TokyoMetro
Namboku,A0686M,0,SaitamaRailway
Namboku,A0534S,0,TokyoMetro
Namboku,B0640S,0,TokyoMetro
Namboku,B0636S,0,TokyoMetro
Namboku,B0632S,0,TokyoMetro
Namboku,B0688M,0,SaitamaRailway
Namboku,B0603K,0,Tokyu
Tozai,A0764T,0,ToyoRapidRailway
Tozai,A0643S,0,TokyoMetro
Tozai,A0653S,0,TokyoMetro
Tozai,A0637S,0,TokyoMetro
Tozai,A0631S,0,TokyoMetro
Tozai,A0619S,0,TokyoMetro
Tozai,A0629S,0,TokyoMetro
Tozai,B0627S,0,TokyoMetro
Tozai,B0663S,0,TokyoMetro
Tozai,B0625S,0,TokyoMetro
Tozai,B0613S,0,TokyoMetro
Tozai,B0641S,0,TokyoMetro
Tozai,B0651S,0,TokyoMetro
Tozai,B0617S,0,TokyoMetro
Tozai,B0555S,0,TokyoMetro
Yurakucho,A0643S,0,TokyoMetro
Yurakucho,A0507T,0,Tobu
Yurakucho,A0633S,0,TokyoMetro
Yurakucho,A0624M,0,Seibu
Yurakucho,A0655S,0,TokyoMetro
Yurakucho,A0522M,0,Seibu
Yurakucho,A0503T,0,Tobu
Yurakucho,A0501T,0,Tobu
Yurakucho,B0729S,0,TokyoMetro
Yurakucho,B0661S,0,TokyoMetro
Yurakucho,B0618M,0,Seibu
Yurakucho,B0645S,0,TokyoMetro
Yurakucho,B0627S,0,TokyoMetro
Yurakucho,B0625S,0,TokyoMetro
Yurakucho,B0659S,0,TokyoMetro
Yurakucho,B0623S,0,TokyoMetro
Yurakucho,B0657S,0,TokyoMetro
Ginza,A0641,0,TokyoMetro
Ginza,A0631,0,TokyoMetro
Ginza,A0635,0,TokyoMetro
Ginza,A0633,0,TokyoMetro
Ginza,A0611,0,TokyoMetro
Ginza,A0649,0,TokyoMetro
Ginza,B0713,0,TokyoMetro
Ginza,B0601,0,TokyoMetro
Ginza,B0647,0,TokyoMetro
Ginza,B0645,0,TokyoMetro
Ginza,B0603,0,TokyoMetro
Ginza,B0643,0,TokyoMetro
Hibiya,A0734S,0,TokyoMetro
Hibiya,A0617T,0,Tobu
Hibiya,A0515T,0,Tobu
Hibiya,A0612S,0,TokyoMetro
Hibiya,A0610S,0,TokyoMetro
Hibiya,A0613T,0,Tobu
