line,train_num,delay,trainowner
Hanzomon,B2213K,0,Tokyu
Chiyoda,A2301K,0,JR-East
Chiyoda,A2325S,0,TokyoMetro
Chiyoda,A2309S,0,TokyoMetro
Chiyoda,B2317K,0,JR-East
Chiyoda,B2496S2,0,TokyoMetro
Marunouchi,A2345,0,TokyoMetro
Marunouchi,A2357,0,TokyoMetro
Marunouchi,A24342,0,TokyoMetro
Marunouchi,A2439,0,TokyoMetro
Marunouchi,A2355,0,TokyoMetro
Marunouchi,A2438,0,TokyoMetro
Marunouchi,B2317,0,TokyoMetro
Marunouchi,B2359,0,TokyoMetro
Fukutoshin,A2317K,0,Tokyu
Fukutoshin,B2303S,0,TokyoMetro
Fukutoshin,B2315T,0,Tobu
Fukutoshin,B2308S,0,TokyoMetro
Namboku,A2332S,0,TokyoMetro
Namboku,A2356S,0,TokyoMetro
Namboku,B2354S,0,TokyoMetro
Namboku,B2310K,0,Tokyu
Namboku,B2338S,0,TokyoMetro
Namboku,B2306K,0,Tokyu
Tozai,A2456T,0,ToyoRapidRailway
Tozai,A2345S,300,TokyoMetro
Tozai,A2331S,0,TokyoMetro
Tozai,A2341S,0,TokyoMetro
Tozai,B2317S,0,TokyoMetro
Tozai,B2461S,0,TokyoMetro
Tozai,B2343S,0,TokyoMetro
Yurakucho,A2347S,0,TokyoMetro
Yurakucho,A2329S,0,TokyoMetro
Yurakucho,B2427S,0,TokyoMetro
Yurakucho,B2331S,0,TokyoMetro
Yurakucho,B2355S,0,TokyoMetro
Yurakucho,B2321S,0,TokyoMetro
Ginza,A2331,0,TokyoMetro
Ginza,B2411,0,TokyoMetro
Ginza,B2307,0,TokyoMetro
Hibiya,A2421T,0,Tobu
Hibiya,A2312S,0,TokyoMetro
Hibiya,B2440S,0,TokyoMetro
Hibiya,B2311T,300,Tobu
Hanzomon,A0563S,0,TokyoMetro
Hanzomon,A0567S,0,TokyoMetro
Hanzomon,B0573S,0,TokyoMetro
Hanzomon,B0565S,0,TokyoMetro
Chiyoda,A0596S1,0,TokyoMetro
Chiyoda,A0413K,0,JR-East
Chiyoda,B0527S,0,TokyoMetro
Chiyoda,B0513S,0,TokyoMetro
Marunouchi,A0501,0,TokyoMetro
Marunouchi,A0529,0,TokyoMetro
Marunouchi,B05321,0,TokyoMetro
Marunouchi,B05371,0,TokyoMetro
Marunouchi,B0531,0,TokyoMetro
Marunouchi,B0527,0,TokyoMetro
Marunouchi,B0505,0,TokyoMetro
Fukutoshin,A0505S,0,TokyoMetro
Fukutoshin,A0504S,0,TokyoMetro
Namboku,A0538S,0,TokyoMetro
Namboku,A0544S,0,TokyoMetro
Namboku,B0542S,0,TokyoMetro
Namboku,B0540S,0,TokyoMetro
Namboku,B0534S,0,TokyoMetro
Tozai,A0513S,0,TokyoMetro
Tozai,A0455S,0,TokyoMetro
Tozai,B0521S,0,TokyoMetro
Tozai,B0523S,0,TokyoMetro
Yurakucho,A0521S,0,TokyoMetro
Yurakucho,A0539S,0,TokyoMetro
Yurakucho,A0543S,0,TokyoMetro
Yurakucho,A0547S,0,TokyoMetro
Yurakucho,B0553S,0,TokyoMetro
Yurakucho,B0545S,0,TokyoMetro
Ginza,A0501,0,TokyoMetro
Ginza,B0541,0,TokyoMetro
Hibiya,A0518S,0,TokyoMetro
Hibiya,A0522S,0,TokyoMetro
Hibiya,B0526S,0,TokyoMetro
Hibiya,B0524S,0,TokyoMetro
Hibiya,B0508S,0,TokyoMetro
Hanzomon,A0506K,0,Tokyu
Hanzomon,A0504K,0,Tokyu
Hanzomon,A0503K,0,Tokyu
Hanzomon,B0550T,0,Tobu
Hanzomon,B0563S,0,TokyoMetro
Chiyoda,A0531S,0,TokyoMetro
Chiyoda,A0505K,0,JR-East
Chiyoda,A0509K,0,JR-East
Chiyoda,A0401K,0,JR-East
Chiyoda,B0513K,0,JR-East
Chiyoda,B0519S,0,TokyoMetro
Chiyoda,B0517S,0,TokyoMetro
Chiyoda,B0603S,0,TokyoMetro
Chiyoda,B0596S3,0,TokyoMetro
Marunouchi,A0531,0,TokyoMetro
Marunouchi,A0527,0,TokyoMetro
Marunouchi,A0509,0,TokyoMetro
Marunouchi,A0503,0,TokyoMetro
Marunouchi,A05362,0,TokyoMetro
