line,train_num,delay,trainowner
Hanzomon,A2274T,0,Tobu
Hanzomon,A2267S,0,TokyoMetro
Hanzomon,A2230K,0,Tokyu
Hanzomon,B2360T,0,Tobu
Hanzomon,B2334K,0,Tokyu
Hanzomon,B2232K,0,Tokyu
Hanzomon,B2307K,0,Tokyu
Hanzomon,B2226K,0,Tokyu
Hanzomon,B2314K,0,Tokyu
Hanzomon,B2204K,0,Tokyu
Chiyoda,A2398S4,0,TokyoMetro
Chiyoda,A2331S,0,TokyoMetro
Chiyoda,A2323S,0,TokyoMetro
Chiyoda,A2345S,0,TokyoMetro
Chiyoda,A2309S,0,TokyoMetro
Chiyoda,A2241S,0,TokyoMetro
Chiyoda,B2425K,0,JR-East
Chiyoda,B2305S,0,TokyoMetro
Chiyoda,B2321K,0,JR-East
Chiyoda,B2325S,0,TokyoMetro
Chiyoda,B2345E,0,Odakyu
Chiyoda,B2347E,0,Odakyu
Chiyoda,B2301K,0,JR-East
Marunouchi,A2327,0,TokyoMetro
Marunouchi,A2311,0,TokyoMetro
Marunouchi,A2385,0,TokyoMetro
Marunouchi,A2379,0,TokyoMetro
Marunouchi,A2335,0,TokyoMetro
Marunouchi,A2347,0,TokyoMetro
Marunouchi,A23382,0,TokyoMetro
Marunouchi,A2367,0,TokyoMetro
Marunouchi,A23363,0,TokyoMetro
Marunouchi,B24341,0,TokyoMetro
Marunouchi,B2433,0,TokyoMetro
Marunouchi,B2361,0,TokyoMetro
Marunouchi,B2363,0,TokyoMetro
Marunouchi,B2387,0,TokyoMetro
Marunouchi,B2325,0,TokyoMetro
Marunouchi,B2331,0,TokyoMetro
Marunouchi,B2373,0,TokyoMetro
Fukutoshin,A2322K,0,Tokyu
Fukutoshin,A2317K,0,Tokyu
Fukutoshin,A2301K,0,Tokyu
Fukutoshin,A2317T,0,Tobu
Fukutoshin,A2312K,0,Tokyu
Fukutoshin,B2301S,0,TokyoMetro
Fukutoshin,B2308M,0,Seibu
Fukutoshin,B2236K,0,Tokyu
Fukutoshin,B2211S,0,TokyoMetro
Namboku,A2442S,0,TokyoMetro
Namboku,A2361T,0,Toei
Namboku,A2388M,0,SaitamaRailway
Namboku,A2396M,0,SaitamaRailway
Namboku,A2380M,0,SaitamaRailway
Namboku,A2386M,0,SaitamaRailway
Namboku,B2356S,0,TokyoMetro
Namboku,B2318K,0,Tokyu
Namboku,B2316K,0,Tokyu
Namboku,B2352S,0,TokyoMetro
Namboku,B2310K,0,Tokyu
Namboku,B2212K,0,Tokyu
Tozai,A2499S,0,TokyoMetro
Tozai,A2375S,0,TokyoMetro
Tozai,A2341S,0,TokyoMetro
Tozai,A2369S,0,TokyoMetro
Tozai,A2367S,0,TokyoMetro
Tozai,A2327S,0,TokyoMetro
Tozai,A2358T,0,ToyoRapidRailway
Tozai,A2385S,0,TokyoMetro
Tozai,A2371S,0,TokyoMetro
Tozai,A2361S,0,TokyoMetro
Tozai,A2319S,0,TokyoMetro
Tozai,A2350T,0,ToyoRapidRailway
Tozai,B2468T,0,ToyoRapidRailway
Tozai,B2331S,0,TokyoMetro
Tozai,B2313S,0,TokyoMetro
Tozai,B2323S,0,TokyoMetro
Tozai,B2255S,0,TokyoMetro
Yurakucho,A2443S,0,TokyoMetro
Yurakucho,A2327S,0,TokyoMetro
Yurakucho,A2377S,0,TokyoMetro
Yurakucho,A2363S,0,TokyoMetro
Yurakucho,A2369S,0,TokyoMetro
Yurakucho,A2229S,0,TokyoMetro
Yurakucho,B2367S,0,TokyoMetro
Yurakucho,B2393S,0,TokyoMetro
Yurakucho,B2351S,0,TokyoMetro
Yurakucho,B2331S,0,TokyoMetro
Yurakucho,B2336M,0,Seibu
Yurakucho,B2375S,0,TokyoMetro
Hibiya,A2310S,0,TokyoMetro
Hibiya,A2266S,0,TokyoMetro
Hibiya,A2304S,0,TokyoMetro
Hibiya,A2228S,0,TokyoMetro
Hibiya,B2426S,0,TokyoMetro
Hibiya,B2301T,0,Tobu
Hibiya,B2360S,0,TokyoMetro
Hibiya,B2348S,0,TokyoMetro
Hibiya,B2329T,0,Tobu
Hibiya,B2333T,0,Tobu
Hibiya,B2323T,0,Tobu
Hibiya,B2306S,0,TokyoMetro
Hanzomon,A2353S,0,TokyoMetro
Hanzomon,A2375S,0,TokyoMetro
Hanzomon,A2389S,0,TokyoMetro
Hanzomon,A2274T,0,Tobu
Hanzomon,B2467S,0,TokyoMetro
Hanzomon,B2430K,0,Tokyu
Hanzomon,B2360T,0,Tobu
Hanzomon,B2334K,0,Tokyu
Chiyoda,A2315S,0,TokyoMetro
Chiyoda,A2331S,0,TokyoMetro
Chiyoda,A2323S,0,TokyoMetro
Chiyoda,B2425K,0,JR-East
Chiyoda,B2305S,0,TokyoMetro
Chiyoda,B2321K,0,JR-East
Chiyoda,B2498S2,0,TokyoMetro
Marunouchi,A2425,0,TokyoMetro
Marunouchi,A2473,0,TokyoMetro
Marunouchi,A2327,0,TokyoMetro
Marunouchi,A2311,0,TokyoMetro
Marunouchi,A2467,0,TokyoMetro
Marunouchi,A2385,0,TokyoMetro
Marunouchi,A2436,0,TokyoMetro
Marunouchi,B2438,0,TokyoMetro
Marunouchi,B2479,0,TokyoMetro
Marunouchi,B2433,0,TokyoMetro
Marunouchi,B2361,0,TokyoMetro
Marunouchi,B2363,0,TokyoMetro
Fukutoshin,A2405K,0,Tokyu
Fukutoshin,A2322K,0,Tokyu
Fukutoshin,B2315S,0,TokyoMetro
Fukutoshin,B2321S,0,TokyoMetro
Fukutoshin,B2301S,0,TokyoMetro
Namboku,A2332S,0,TokyoMetro
Namboku,A2442S,0,TokyoMetro
Namboku,A2388M,0,SaitamaRailway
Namboku,B2366S,0,TokyoMetro
Namboku,B2308K,0,Tokyu
Namboku,B2356S,0,TokyoMetro
Namboku,B2318K,0,Tokyu
Namboku,B2316K,0,Tokyu
Tozai,A2499S,0,TokyoMetro
Tozai,A2375S,0,TokyoMetro
Tozai,A2341S,0,TokyoMetro
Tozai,A2369S,0,TokyoMetro
Tozai,A2367S,0,TokyoMetro
Tozai,A2327S,0,TokyoMetro
Tozai,A2358T,0,ToyoRapidRailway
Tozai,B2419S,0,TokyoMetro
Tozai,B2395S,0,TokyoMetro
Tozai,B2468T,0,ToyoRapidRailway
Tozai,B2331S,0,TokyoMetro
Tozai,B2313S,0,TokyoMetro
Yurakucho,A2327S,0,TokyoMetro
Yurakucho,A2377S,0,TokyoMetro
Yurakucho,A2363S,0,TokyoMetro
Yurakucho,B2439S,0,TokyoMetro
Yurakucho,B2367S,0,TokyoMetro
Yurakucho,B2393S,0,TokyoMetro
Yurakucho,B2351S,0,TokyoMetro
Yurakucho,B2331S,0,TokyoMetro
Hibiya,A2334S,0,TokyoMetro
Hibiya,A2310S,0,TokyoMetro
Hibiya,A2266S,0,TokyoMetro
Hibiya,B2404S,0,TokyoMetro
Hibiya,B2301T,0,Tobu
Hibiya,B2360S,0,TokyoMetro
Hibiya,B2348S,0,TokyoMetro
Hanzomon,A0504K,0,Tokyu
Hanzomon,A0503K,0,Tokyu
Hanzomon,A0502K,0,Tokyu
Hanzomon,B0579S,0,TokyoMetro
Hanzomon,B0591S,0,TokyoMetro
Hanzomon,B0589S,0,TokyoMetro
Chiyoda,A0503S,0,TokyoMetro
Chiyoda,A0401K,0,JR-East
Chiyoda,A0501S,0,TokyoMetro
Chiyoda,A0413K,0,JR-East
Chiyoda,B0535S,0,TokyoMetro
Chiyoda,B0533S,0,TokyoMetro
Chiyoda,B0545S,0,TokyoMetro
Chiyoda,B0543S,0,TokyoMetro
Chiyoda,B0598S2,0,TokyoMetro
Marunouchi,A0543,0,TokyoMetro
Marunouchi,A0509,0,TokyoMetro
Marunouchi,A0503,0,TokyoMetro
Marunouchi,A0505,0,TokyoMetro
Marunouchi,A0507,0,TokyoMetro
Marunouchi,A0501,0,TokyoMetro
Marunouchi,A05342,0,TokyoMetro
Marunouchi,A0553,0,TokyoMetro
Marunouchi,B05323,0,TokyoMetro
Marunouchi,B0557,0,TokyoMetro
Marunouchi,B05512,0,TokyoMetro
Marunouchi,B0549,0,TokyoMetro
Marunouchi,B0555,0,TokyoMetro
Marunouchi,B0545,0,TokyoMetro
Marunouchi,B0547,0,TokyoMetro
Marunouchi,B0539,0,TokyoMetro
Fukutoshin,A0519T,0,Tobu
Fukutoshin,A0505S,0,TokyoMetro
Fukutoshin,A0506M,0,Seibu
Fukutoshin,A0525K,0,Tokyu
Fukutoshin,B0533K,0,Tokyu
Fukutoshin,B0519K,0,Tokyu
Fukutoshin,B0501S,0,TokyoMetro
Namboku,A0502K,0,Tokyu
Namboku,A0540S,0,TokyoMetro
Namboku,A0536S,0,TokyoMetro
Namboku,A0532S,0,TokyoMetro
Namboku,B0582M,0,SaitamaRailway
Namboku,B0580M,0,SaitamaRailway
Namboku,B0542S,0,TokyoMetro
Tozai,A0523S,0,TokyoMetro
Tozai,A0517S,0,TokyoMetro
Tozai,A0515S,0,TokyoMetro
Tozai,A0513S,0,TokyoMetro
Tozai,B0661S,0,TokyoMetro
Tozai,B0563S,0,TokyoMetro
Tozai,B0589S,0,TokyoMetro
Tozai,B0562T,0,ToyoRapidRailway
Tozai,B0487S,0,TokyoMetro
Tozai,B0529S,0,TokyoMetro
Tozai,B0521S,0,TokyoMetro
Tozai,B0525S,0,TokyoMetro
Yurakucho,A0555S,0,TokyoMetro
Yurakucho,A0527S,0,TokyoMetro
Yurakucho,A0525S,0,TokyoMetro
Yurakucho,A0523S,0,TokyoMetro
Yurakucho,A0521S,0,TokyoMetro
Yurakucho,A0549S,0,TokyoMetro
Yurakucho,B0553S,0,TokyoMetro
Yurakucho,B0569S,0,TokyoMetro
Yurakucho,B0567S,0,TokyoMetro
Yurakucho,B0557S,0,TokyoMetro
Yurakucho,B0565S,0,TokyoMetro
Yurakucho,B0563S,0,TokyoMetro
Ginza,A0555,0,TokyoMetro
Ginza,A0511,0,TokyoMetro
Ginza,B0561,0,TokyoMetro
Ginza,B0559,0,TokyoMetro
Ginza,B0557,0,TokyoMetro
Hibiya,A0552S,0,TokyoMetro
Hibiya,A0556S,0,TokyoMetro
Hibiya,A0502S,0,TokyoMetro
Hibiya,A0501T,0,Tobu
Hibiya,A0532S,0,TokyoMetro
Hibiya,A0550S,0,TokyoMetro
Hibiya,A0564S,0,TokyoMetro
Hibiya,B0554S,0,TokyoMetro
Hibiya,B0562S,0,TokyoMetro
Hibiya,B0560S,0,TokyoMetro
Hibiya,B0558S,0,TokyoMetro
Hibiya,B0534S,0,TokyoMetro
Hanzomon,A0525K,0,Tokyu
Hanzomon,A0501K,0,Tokyu
Hanzomon,A0582T,0,Tobu
Hanzomon,A0507K,0,Tokyu
Hanzomon,A0537K,0,Tokyu
Hanzomon,A0508K,0,Tokyu
Hanzomon,B0605K,0,Tokyu
Hanzomon,B0687S,0,TokyoMetro
Hanzomon,B0554T,0,Tobu
Hanzomon,B0693S,0,TokyoMetro
Hanzomon,B0552T,0,Tobu
Chiyoda,A0698S3,0,TokyoMetro
Chiyoda,A0529S,0,TokyoMetro
Chiyoda,A0613S,0,TokyoMetro
Chiyoda,A0625S,0,TokyoMetro
Chiyoda,A0609K,0,JR-East
Chiyoda,A0609S,0,TokyoMetro
Chiyoda,A0503K,0,JR-East
Chiyoda,A0505S,0,TokyoMetro
Chiyoda,B0639S,0,TokyoMetro
Chiyoda,B0603S,0,TokyoMetro
Chiyoda,B0601K,0,JR-East
Chiyoda,B0637S,0,TokyoMetro
Chiyoda,B0501S,0,TokyoMetro
Chiyoda,B0631S,0,TokyoMetro
Marunouchi,A0613,0,TokyoMetro
Marunouchi,A0657,0,TokyoMetro
Marunouchi,A0649,0,TokyoMetro
Marunouchi,A0655,0,TokyoMetro
Marunouchi,A0645,0,TokyoMetro
Marunouchi,A0641,0,TokyoMetro
Marunouchi,A0511,0,TokyoMetro
Marunouchi,A0547,0,TokyoMetro
Marunouchi,A0539,0,TokyoMetro
Marunouchi,A0543,0,TokyoMetro
Marunouchi,A06342,0,TokyoMetro
Marunouchi,B0669,0,TokyoMetro
Marunouchi,B06322,0,TokyoMetro
Marunouchi,B0609,0,TokyoMetro
Marunouchi,B0603,0,TokyoMetro
Marunouchi,B0667,0,TokyoMetro
Marunouchi,B0605,0,TokyoMetro
Marunouchi,B0665,0,TokyoMetro
