line,train_num,delay,trainowner
Namboku,A0714K,0,Tokyu
Namboku,A0703K,0,Tokyu
Namboku,A0786M,0,SaitamaRailway
Namboku,A0720K,0,Tokyu
Namboku,A0732S,0,TokyoMetro
Namboku,A0710K,0,Tokyu
Namboku,A0738S,0,TokyoMetro
Namboku,A0744S,0,TokyoMetro
Namboku,A0730S,0,TokyoMetro
Namboku,A0712K,0,Tokyu
Namboku,A0784M,0,SaitamaRailway
Namboku,B0766S,0,TokyoMetro
Namboku,B0750S,0,TokyoMetro
Namboku,B0742S,0,TokyoMetro
Namboku,B0794M,0,SaitamaRailway
Namboku,B0792M,0,SaitamaRailway
Namboku,B0708K,0,Tokyu
Namboku,B0790M,0,SaitamaRailway
Namboku,B0760S,0,TokyoMetro
Namboku,B0734S,0,TokyoMetro
Namboku,B0754S,0,TokyoMetro
Namboku,B0756S,0,TokyoMetro
Namboku,B0764S,0,TokyoMetro
Namboku,B0704K,0,Tokyu
Hibiya,A0840S,0,TokyoMetro
Hibiya,A0762S,0,TokyoMetro
Hibiya,A0701T,0,Tobu
Hibiya,A0842S,0,TokyoMetro
Hibiya,A0732S,0,TokyoMetro
Hibiya,A0629T,0,Tobu
Hibiya,A0705T,0,Tobu
Hibiya,A0720S,0,TokyoMetro
Hibiya,A0627T,0,Tobu
Hibiya,A0710S,0,TokyoMetro
Hibiya,A0718S,0,TokyoMetro
Hibiya,A0764S,0,TokyoMetro
Hibiya,A0770S,0,TokyoMetro
Hibiya,A0716S,0,TokyoMetro
Hibiya,A0724S,0,TokyoMetro
Hibiya,A0763S,0,TokyoMetro
Hibiya,A0625T,0,Tobu
Hibiya,A0614S,0,TokyoMetro
Hibiya,A0752S,0,TokyoMetro
Hibiya,A0623T,0,Tobu
Hibiya,A0726S,0,TokyoMetro
Hibiya,B0860S,0,TokyoMetro
Hibiya,B0802S,0,TokyoMetro
Hibiya,B0822S,0,TokyoMetro
Hibiya,B0836S,0,TokyoMetro
Hibiya,B0719T,0,Tobu
Hibiya,B0717T,0,Tobu
Hibiya,B0746S,0,TokyoMetro
Hibiya,B0758S,0,TokyoMetro
Hibiya,B0715T,0,Tobu
Hibiya,B0744S,0,TokyoMetro
Hibiya,B0713T,0,Tobu
Hibiya,B0748S,0,TokyoMetro
Hibiya,B0711T,0,Tobu
Hibiya,B0709T,0,Tobu
Hibiya,B0712S,0,TokyoMetro
Marunouchi,A0887,0,TokyoMetro
Marunouchi,A0831,0,TokyoMetro
Marunouchi,A0849,0,TokyoMetro
Marunouchi,A0885,0,TokyoMetro
Marunouchi,A0855,0,TokyoMetro
Marunouchi,A0829,0,TokyoMetro
Marunouchi,A0883,0,TokyoMetro
Marunouchi,A0745,0,TokyoMetro
Marunouchi,A0781,0,TokyoMetro
Marunouchi,A0727,0,TokyoMetro
Marunouchi,A0741,0,TokyoMetro
Marunouchi,A0779,0,TokyoMetro
Marunouchi,A0725,0,TokyoMetro
Marunouchi,A0711,0,TokyoMetro
Marunouchi,A0777,0,TokyoMetro
Marunouchi,A0747,0,TokyoMetro
Marunouchi,A0723,0,TokyoMetro
Marunouchi,A0775,0,TokyoMetro
Marunouchi,A0739,0,TokyoMetro
Marunouchi,A0773,0,TokyoMetro
Marunouchi,A08361,0,TokyoMetro
Marunouchi,A0743,0,TokyoMetro
Marunouchi,A0721,0,TokyoMetro
Marunouchi,A0709,0,TokyoMetro
Marunouchi,A08341,0,TokyoMetro
Marunouchi,A08381,0,TokyoMetro
Marunouchi,B08321,0,TokyoMetro
Marunouchi,B0869,0,TokyoMetro
Marunouchi,B0803,0,TokyoMetro
Marunouchi,B0867,0,TokyoMetro
Marunouchi,B0805,0,TokyoMetro
Marunouchi,B0865,0,TokyoMetro
Marunouchi,B0707,0,TokyoMetro
Marunouchi,B0817,0,TokyoMetro
Marunouchi,B0763,0,TokyoMetro
Marunouchi,B0871,0,TokyoMetro
Marunouchi,B0737,0,TokyoMetro
Marunouchi,B0701,0,TokyoMetro
Marunouchi,B0799,0,TokyoMetro
Marunouchi,B0715,0,TokyoMetro
Marunouchi,B0761,0,TokyoMetro
Marunouchi,B0797,0,TokyoMetro
Marunouchi,B0753,0,TokyoMetro
Marunouchi,B0795,0,TokyoMetro
Marunouchi,B0759,0,TokyoMetro
Marunouchi,B0793,0,TokyoMetro
Marunouchi,B0751,0,TokyoMetro
Marunouchi,B0791,0,TokyoMetro
Marunouchi,B0713,0,TokyoMetro
Marunouchi,B0789,0,TokyoMetro
Marunouchi,B0757,0,TokyoMetro
Yurakucho,A0833S,0,TokyoMetro
Yurakucho,A0831S,0,TokyoMetro
Yurakucho,A0851S,0,TokyoMetro
Yurakucho,A0715T,0,Tobu
Yurakucho,A0714M,0,Seibu
Yurakucho,A0753S,0,TokyoMetro
Yurakucho,A0747S,0,TokyoMetro
Yurakucho,A0755S,0,TokyoMetro
Yurakucho,A0723T,0,Tobu
Yurakucho,A0769S,0,TokyoMetro
Yurakucho,A0773S,0,TokyoMetro
Yurakucho,A0767S,0,TokyoMetro
Yurakucho,A0779S,0,TokyoMetro
Yurakucho,A0793S,0,TokyoMetro
Yurakucho,A0613T,0,Tobu
Yurakucho,A0749S,0,TokyoMetro
Yurakucho,A0781S,0,TokyoMetro
Yurakucho,A0628M,0,Seibu
Yurakucho,A0665S,0,TokyoMetro
Yurakucho,A0777S,0,TokyoMetro
Yurakucho,A0691S,0,TokyoMetro
Yurakucho,B0816M,0,Seibu
Yurakucho,B0871S,0,TokyoMetro
Yurakucho,B0845S,0,TokyoMetro
Yurakucho,B0708M,0,Seibu
Yurakucho,B0743S,0,TokyoMetro
