Namboku,志茂,139.72771019,35.77937507
Fukutoshin,和光市,139.60580150,35.78121090
Fukutoshin,平和台,139.66232476,35.76123110
Fukutoshin,氷川台,139.66643024,35.75430424
Fukutoshin,千川,139.69322846,35.74250363
Fukutoshin,要町,139.69680900,35.73625444
Fukutoshin,池袋,139.70744969,35.73779622
Fukutoshin,雑司が谷,139.71855507,35.71889309
Fukutoshin,西早稲田,139.71701668,35.70917469
Fukutoshin,東新宿,140.36842176,35.55971840
Fukutoshin,新宿三丁目,139.70598223,35.69139029
Fukutoshin,渋谷,139.70405860,35.66178030
